id,academic_year_id/id,class_id/id,division_id/id,section_id/id
__export__.education_class_division_1,__export__.education_academic_year_1_19e0b085,__export__.education_class_1_d1a78863,,education_core.class_section1
__export__.education_class_division_2,__export__.education_academic_year_1_19e0b085,__export__.education_class_1_d1a78863,,education_core.class_section2
__export__.education_class_division_3,__export__.education_academic_year_1_19e0b085,__export__.education_class_1_d1a78863,,education_core.class_section3
__export__.education_class_division_4,__export__.education_academic_year_1_19e0b085,__export__.education_class_2_8a4446be,,education_core.class_section1
__export__.education_class_division_5,__export__.education_academic_year_1_19e0b085,__export__.education_class_2_8a4446be,,education_core.class_section2
__export__.education_class_division_6,__export__.education_academic_year_1_19e0b085,__export__.education_class_2_8a4446be,,education_core.class_section3
__export__.education_class_division_7,__export__.education_academic_year_1_19e0b085,__export__.education_class_3_710c85ee,,education_core.class_section1
__export__.education_class_division_8,__export__.education_academic_year_1_19e0b085,__export__.education_class_3_710c85ee,,education_core.class_section2
__export__.education_class_division_9,__export__.education_academic_year_1_19e0b085,__export__.education_class_3_710c85ee,,education_core.class_section3
__export__.education_class_division_10,__export__.education_academic_year_1_19e0b085,__export__.education_class_4_0614aa18,,education_core.class_section1
__export__.education_class_division_11,__export__.education_academic_year_1_19e0b085,__export__.education_class_4_0614aa18,,education_core.class_section2
__export__.education_class_division_12,__export__.education_academic_year_1_19e0b085,__export__.education_class_4_0614aa18,,education_core.class_section3
__export__.education_class_division_13,__export__.education_academic_year_1_19e0b085,__export__.education_class_5_3d299d3a,,education_core.class_section1
__export__.education_class_division_14,__export__.education_academic_year_1_19e0b085,__export__.education_class_5_3d299d3a,,education_core.class_section2
__export__.education_class_division_15,__export__.education_academic_year_1_19e0b085,__export__.education_class_5_3d299d3a,,education_core.class_section3
__export__.education_class_division_16,__export__.education_academic_year_1_19e0b085,__export__.education_class_6_83de9d6c,,education_core.class_section1
__export__.education_class_division_17,__export__.education_academic_year_1_19e0b085,__export__.education_class_6_83de9d6c,,education_core.class_section2
__export__.education_class_division_18,__export__.education_academic_year_1_19e0b085,__export__.education_class_6_83de9d6c,,education_core.class_section3
__export__.education_class_division_19,__export__.education_academic_year_1_19e0b085,__export__.education_class_7_18380dde,,education_core.class_section1
__export__.education_class_division_20,__export__.education_academic_year_1_19e0b085,__export__.education_class_7_18380dde,,education_core.class_section2
__export__.education_class_division_21,__export__.education_academic_year_1_19e0b085,__export__.education_class_7_18380dde,,education_core.class_section3
__export__.education_class_division_22,__export__.education_academic_year_1_19e0b085,__export__.education_class_8_6ebe08db,,education_core.class_section1
__export__.education_class_division_23,__export__.education_academic_year_1_19e0b085,__export__.education_class_8_6ebe08db,,education_core.class_section2
__export__.education_class_division_24,__export__.education_academic_year_1_19e0b085,__export__.education_class_8_6ebe08db,,education_core.class_section3
__export__.education_class_division_25,__export__.education_academic_year_1_19e0b085,__export__.education_class_9_b36d5076,,education_core.class_section1
__export__.education_class_division_26,__export__.education_academic_year_1_19e0b085,__export__.education_class_9_b36d5076,,education_core.class_section2
__export__.education_class_division_27,__export__.education_academic_year_1_19e0b085,__export__.education_class_9_b36d5076,,education_core.class_section3
__export__.education_class_division_28,__export__.education_academic_year_1_19e0b085,__export__.education_class_10_d6bd3867,,education_core.class_section1
__export__.education_class_division_29,__export__.education_academic_year_1_19e0b085,__export__.education_class_10_d6bd3867,,education_core.class_section2
__export__.education_class_division_30,__export__.education_academic_year_1_19e0b085,__export__.education_class_10_d6bd3867,,education_core.class_section3
__export__.education_class_division_31,__export__.education_academic_year_1_19e0b085,__export__.education_class_11_1f003666,,education_core.class_section1
__export__.education_class_division_32,__export__.education_academic_year_1_19e0b085,__export__.education_class_11_1f003666,,education_core.class_section2
__export__.education_class_division_33,__export__.education_academic_year_1_19e0b085,__export__.education_class_11_1f003666,,education_core.class_section3
__export__.education_class_division_34,__export__.education_academic_year_1_19e0b085,__export__.education_class_12_b573f6ca,,education_core.class_section1
__export__.education_class_division_35,__export__.education_academic_year_1_19e0b085,__export__.education_class_12_b573f6ca,,education_core.class_section2
__export__.education_class_division_36,__export__.education_academic_year_1_19e0b085,__export__.education_class_12_b573f6ca,,education_core.class_section3
__export__.education_class_division_37,__export__.education_academic_year_1_19e0b085,__export__.education_class_13_b15b48c7,,education_core.class_section1
__export__.education_class_division_38,__export__.education_academic_year_1_19e0b085,__export__.education_class_13_b15b48c7,,education_core.class_section2
__export__.education_class_division_39,__export__.education_academic_year_1_19e0b085,__export__.education_class_13_b15b48c7,,education_core.class_section3
